item,document,label,claim,artifact,script,campaign,manifest,defined_in
SFigure S1,supplement,fig:criteria,Truncation criteria against the model-relative empirical reference (log--log),fig_truncation.pdf,make_figures_r1.py,R1,,chapters/supp_calibration_cost.tex
SFigure S2,supplement,fig:pstar-objective,"Dense-altitude calibration objective for the effective tail-budget exponent on GL1800F. The shaded interval is the central 95% range from resampling the deterministic altitude grid; it is a stability diagnostic, not a statistical confidence or gravity-model covariance interval",fig_pstar_objective.pdf,make_figures_supplemental.py,,,chapters/supp_calibration_cost.tex
SFigure S3,supplement,fig:timing,Measured single-thread evaluation time of the serial kernel (median and interquartile range over nine timing blocks),fig_timing.pdf,make_figures_r1.py,R1,,chapters/supp_calibration_cost.tex
SFigure S4,supplement,fig:sobol-confirmatory,"Confirmatory scrambled-Sobol design. Left and center: ordered reference-degree-audited error ratios against work-matched and critical-altitude fixed degrees; the dashed line marks parity. Right: work-matched ratio in the perilune--apolune plane, with marker shape separating inclination regimes. Positive log _10ρ favors the empirical schedule",fig_sobol_confirmatory.pdf,rev10_finalize_manifest.py; rev10_manuscript_assets.py,R10,metrics/r10_final_experiment_manifest.json,chapters/supp_results_detail.tex
SFigure S5,supplement,fig:orbit,"24-hour RMS position error versus truncation degree, 100 km circular polar orbit, at two tolerance settings",fig_orbit_error.pdf,make_figures_r1.py,R1,,chapters/supp_results_detail.tex
SFigure S6,supplement,fig:schedpanels,"Two orbital periods of the eccentric arc: altitude, scheduled degree (ε=10^-3, floor 60), and accepted DOP853 step sizes with switch instants (vertical lines) and rejected-attempt markers",fig_schedule_panels.pdf,make_figures_r1.py,R1,,chapters/supp_orbit_audit.tex
SFigure S7,supplement,fig:switch-aggregate,"Event-aligned accepted-step median and interquartile range (upper panels) and direct rejection probability (lower panels), pooled over all switches and separated by direction and initial phase",fig_switch_aggregate.pdf,make_figures_r3.py,R3,,chapters/supp_orbit_audit.tex
SFigure S8,supplement,fig:longarc-matrix,Seven-day RMS position error for six degree policies across four orbit/orientation controls. The logarithmic scale exposes the severe penalties in both low-perilune polar cases. The apparent narrow gaps are tested under vector tolerances in the main text,fig_longarc_matrix.pdf,make_figures_r3.py,R3,,chapters/supp_orbit_audit.tex
SFigure S9,supplement,fig:sweep,"Dense fixed-degree sweep at the tight tolerance for the reference phase, apolune-start phase, and 60^circ -inclination variant of the 50× 300 km orbit. (a) Seven-day RMS position error against the N=300 reference. (b) Final in-track error. (c) Measured gravity-kernel time. (d) Coherence |overline a_I|/RMS(a_I) of the omitted-band acceleration projected on the reference trajectory's in-track direction; the overbar is the time average over the seven-day output grid",fig_degree_sweep.pdf,make_figures_r3.py,R3,,chapters/supp_orbit_audit.tex
SFigure S10,supplement,fig:growth,Position-error envelopes over the tested 7-day arc (tight tolerance). Scheduled runs grow superlinearly; the tested fixed-degree errors remain at the tens-of-meters scale over this finite arc,fig_longarc_growth.pdf,make_figures_r1.py,R1,,chapters/supp_orbit_audit.tex
SFigure S11,supplement,fig:symplectic-switch,"One-revolution PEFRL energy control. Fixed-degree energy remains at the numerical floor, whereas changing the truncation creates persistent energy steps (vertical dotted lines). Step halving leaves their magnitude essentially unchanged",fig_symplectic_switch.pdf,rev4_robustness_controls.py,R4,,chapters/supp_robustness_detail.tex
SFigure S12,supplement,fig:atallah-benchmark,"The published radial-adaptive rule against both fixed comparators, design A (circles) and design B (triangles). (a) Seven-day error ratios in ascending order; filled markers are comparisons the envelope rule resolves, open markers those it does not. (b) The resolution margin M_res of every matched-work pair against its error gap, arrows showing where the third-tolerance retest moved the 24 contested orbits. (c) The truncation acceleration defect of the rule against that of its work-matched fixed degree, one point per orbit",fig_atallah_benchmark.pdf,make_figures_r13.py; rev13_finalize_manifest.py,R13,metrics/r13_final_experiment_manifest.json,chapters/supp_atallah.tex
SFigure S13,supplement,fig:beta1-per-orbit,"Equal-budget comparison at β=1: per-orbit ratio of constant-degree to budget-calibrated radial seven-day error, sorted within each design. Bars below unity favor the constant degree; gray bars are undecided under the orbit's numerical envelope",fig_beta1_per_orbit.pdf,make_figures_r34.py; rev35_finalize_manifest.py,R35,metrics/r35_final_experiment_manifest.json,chapters/supp_budget_pareto.tex
SFigure S14,supplement,fig:instrument-ladder,"The four instruments, one point per orbit, both designs pooled; the pooling is a display choice for an instrument comparison, not a population count, and per-design counts are in Table mainref tab:instrument-ladder. Bars are medians; the count above each column is the number of orbits, over the 128-orbit panel, on which that instrument favors the radial policy",fig_instrument_ladder.pdf,make_figures_r34.py; make_figures_r42_ladder.py; rev42_finalize_manifest.py,R42,metrics/r42_final_experiment_manifest.json,chapters/supp_budget_pareto.tex
SFigure S15,supplement,fig:regime-map-full,"The regime map of Fig. mainref fig:regime-map with every cell's resolved win--loss count printed, the three angle-restricted sub-box rows drawn, and the exploratory work-matched comparison added as panel (b). Colour scale, cell states and marks are the main text's",fig_regime_map.pdf,make_figures_r36_regime.py; rev35_finalize_manifest.py,R35,metrics/r35_final_experiment_manifest.json,chapters/supp_budget_pareto.tex
SFigure S16,supplement,fig:span-curve,"The interpolation path at the critical degree's own nominal per-call budget (β=1), plotted against the degree span each member actually runs; the other two budgets are tabulated rather than drawn. Upper: median seven-day position error with the interquartile band, open circles marking the two endpoints, the equal-budget constant degree at span 1 and the budget-calibrated radial endpoint at the right. Lower: realized total quadratic work relative to the constant degree. Neither endpoint is a recommendation of the source paper",fig_span_curve.pdf,make_figures_r20.py,R20,metrics/r20_final_experiment_manifest.json,chapters/supp_span_sweep.tex
STable S1,supplement,tab:shtools,"Field-level acceleration comparison against SHTOOLS, pooled over 30, 100, and 500 km and including near-pole points. Values are maximum relative differences except the RMS column",(inline),,,,chapters/06_qualification.tex
STable S2,supplement,tab:tudat-contract,"Reproducibility contract of the Tudat--Lunaris comparison. The SPICE kernel set is naif0012.tls, pck00011.tpc, gm_de440.tpc, de440s.bsp, moon_de440_250416.tf, moon_pa_de440_200625.bpc (file hashes in the archived provenance records)",(inline),,,,chapters/06_qualification.tex
STable S3,supplement,tab:tudat-resolution,"Three-resolution Tudat RK4 controls (5, 2.5, and 1.25 s) on the common 60-s comparison grid. Altitude, latitude, and 10-degree longitude-bin coverage are measured from the propagated trajectories",(inline),,,,chapters/06_qualification.tex
STable S4,supplement,tab:populations,"The population-level orbit families by declared sub-box, 64 orbits each except the paired ladder, which is two blocks of 64 at apolunes of 300, 600, 1200 and 2400 km",(inline),,,,chapters/supp_experiment_contract.tex
STable S7,supplement,tab:tolerance-contracts,"Integration-tolerance regimes and the results quoted from each. Absolute tolerances are scalar unless a position/velocity pair is given, in which case they are component-scaled vectors. Numbers taken under different regimes are not directly comparable in absolute value; each regime is internally consistent because every policy in it is differenced against a reference propagated under the same settings",(inline),,,,chapters/supp_experiment_contract.tex
STable S8,supplement,tab:verif,"Verification of the per-degree acceleration-RMS identity by exact Gauss--Legendre quadrature (nodes n+10 × 2n+12; deviation of the quadrature-to-analytic ratio from unity, worst of two altitudes) and by the Sobol sample-size sequence (vector-form ratio ± standard error)",(inline),,,,chapters/supp_calibration_cost.tex
STable S9,supplement,tab:lookup,"Truncation-degree lookup for GRAIL GL1800F: N_min ^emp from Eq. mainref eq:tail, by altitude, at three discarded-tail budgets",r43_lookup_table.tex,rev35_finalize_manifest.py; rev43_lookup_table.py,R35,metrics/r35_final_experiment_manifest.json,chapters/supp_calibration_cost.tex
STable S10,supplement,tab:criteria,Recommended truncation degree: model-relative empirical reference and closed-form rules. The spectrum-tail columns use the total-vector measure with ε=10^-2; the conventional attenuation-only column uses its distinct threshold f=10^-3. Parenthesized values are deviations from the empirical reference,(inline),,,,chapters/supp_calibration_cost.tex
STable S11,supplement,tab:static-selection,Practical static selections. The compact fit summarizes the empirical trend but does not preserve the budget at every altitude. The safe values are the largest exponents that do not underselect on their stated 5-km grids,review_static_selection_table.tex,review_postprocess.py,,,chapters/supp_calibration_cost.tex
STable S12,supplement,tab:cost-curve,"The kernel cost curve re-measured under both archived protocols at both archived model degrees, on an idle machine, in three sessions. ""model"" is the degree the kernel is instantiated with, N the truncation degree evaluated; times are medians of the per-session medians. The block/per-call column is the median of the three session-wise ratios, the paired statistic the protocol effect should be read from, so it need not equal the quotient of the two displayed medians. ""Session spread"" is the larger of the two protocols' maximum-over-minimum across the three sessions",r23_cost_table.tex,rev23_finalize_manifest.py; rev23_tables.py,R23,metrics/r23_final_experiment_manifest.json,chapters/supp_calibration_cost.tex
STable S13,supplement,tab:transfer-detail,"Empirical minimum degree N^emp and the p_fit proxy at four points of the dimensionless band, at ε=10^-2. Dashes mark the degenerate Earth fields, for which the calibration objective has no interior minimum",r16_transfer_detail_table.tex,rev16_finalize_manifest.py; rev16_tables.py,R16,metrics/r16_final_experiment_manifest.json,chapters/supp_calibration_cost.tex
STable S14,supplement,tab:band,"Normalized band-difference RMS amplitudes (1000 directions per altitude; bootstrap 95% intervals in brackets). Bands are not orthogonal as vectors, so the columns are not additive",(inline),,,,chapters/supp_calibration_cost.tex
STable S15,supplement,tab:localtail,"Degree recommendations from the sampled sphere-RMS criterion and directional tail-amplitude percentiles normalized by the global perturbation RMS (4096 Sobol directions, 10-degree ladder, reference N_max=600), against the analytic spectrum lookup N_min ^emp. Entries "">280"" exceed the tested ladder",(inline),,,,chapters/supp_calibration_cost.tex
STable S16,supplement,tab:transfer,The same calibration on eight coefficient products of five bodies. Per-product fits follow in this section,r16_transfer_table.tex,rev16_finalize_manifest.py; rev16_tables.py,R16,metrics/r16_final_experiment_manifest.json,chapters/supp_results_detail.tex
STable S17,supplement,tab:blend,Physics of four degree-transition policies on a common band. Position error is against fixed N=120. Per-path implementation timings are in the archived record nolinkurl metrics/r10_blend_telemetry.tex,(inline),,,,chapters/supp_results_detail.tex
STable S18,supplement,tab:longarc,"7-day eccentric arc (50× 300 km polar), tight tolerance: position error against the N=300 adopted reference, quadratic gravity-work proxy (fixed N=138 = 1), measured gravity-kernel and total wall time, right-hand-side calls, and switch count. The 7-day integration floor at the baseline tolerance is 150 m RMS; the tight reference run used 103,532 calls and 59.4 s",(inline),,,,chapters/supp_results_detail.tex
STable S19,supplement,tab:reference-degree,"Seven-day N=300 minus N=600 reference-degree control (meters), using vector absolute tolerances of 10^-6 m and 10^-9 m s^-1 and a 60 s maximum step",(inline),,,,chapters/supp_orbit_audit.tex
STable S20,supplement,tab:narrow,"Narrow-gap precision controls. RMS, maximum, and final R/I/C compare each tighter policy run with the tighter N=300 reference. ""Num. env."" is the conservative sum of policy and reference tight-to-tighter RMS differences; it is a numerical sensitivity envelope, not a statistical uncertainty. Final R/I/C is in meters",(inline),,,,chapters/supp_orbit_audit.tex
STable S21,supplement,tab:switch,Per-switch acceleration jump: direction-averaged RMS of |a(120)-a(120-q)| relative to the perturbation RMS (400 directions; bootstrap 95% intervals),(inline),,,,chapters/supp_orbit_audit.tex
STable S22,supplement,tab:switch-telemetry,Direct DOP853 switching telemetry over 2.2 orbital periods. The controlled-ODE validation satisfies n_rm RHS=2+12n_rm attempts and n_rm attempts=n_rm accepted+n_rm rejected exactly,(inline),,,,chapters/supp_orbit_audit.tex
STable S23,supplement,tab:robustness,"Seven-day robustness controls: Cartesian RMS position error against the same-solver, same-force N=300 reference. Dashes denote policies not run in the solver-only comparison. The final column is a diagnostic, not an uncertainty bar",(inline),,,,chapters/supp_robustness_detail.tex
STable S24,supplement,tab:lro-accuracy,"LRO-like seven-day accuracy controls against the same-force N=300 reference. R/I/C are signed final radial, in-track, and cross-track components",(inline),,,,chapters/supp_robustness_detail.tex
STable S25,supplement,tab:lro-cost,LRO-like computational controls. ⟨ N^2⟩ -matched fixed degrees are the nearest integers to sqrt ⟨ N^2⟩ of the corresponding schedule; measured times are reported independently,(inline),,,,chapters/supp_robustness_detail.tex
STable S26,supplement,tab:geometric-verification,"Seven-day rotating-frame Jacobi-integral control. At a fixed degree the symplectic relative drift |Δ H/H|_max falls cleanly as the step refines from 20 to 2.5 s, DOP853 conserves the integral to sim 10^-10 unaided, and the finest trajectories of the two agree in position to about 0.1 m. Under the N=30--120 switching schedule the symplectic drift stops improving and DOP853 sits at the same level",(inline),,,,chapters/supp_robustness_detail.tex
STable S27,supplement,tab:tudat-dynamic,"Independent TudatPy reproduction of dynamic scheduling: seven-day Cartesian RMS position error against each code's own N=300 reference. ""Cross"" is the same-policy Lunaris--Tudat trajectory difference; ""env."" is Tudat's 30-to-60 s step difference, not the final convergence bound; see Table ref tab:lro-conv. Both implementations recover the same raw policy ranking; the LRO-like absolute magnitudes are further qualified by the three-step convergence study in Table ref tab:lro-conv",(inline),,,,chapters/supp_robustness_detail.tex
STable S28,supplement,tab:lro-conv,"LRO-like Tudat step-convergence. Successive maximum-step differences (RMS position, m) for the N=300 reference and each policy, and the reported magnitude at the 30 s step. The 60-to-30 s column reproduces the ""env."" column of Table ref tab:tudat-dynamic; the 30-to-15 s column shows it collapses under further refinement",(inline),,,,chapters/supp_robustness_detail.tex
STable S29,supplement,tab:sobol-reference-audit,"Confirmatory reference-degree audit, frozen six-orbit primary set. The threshold is the stricter of 5 m and 5% of the smallest interpreted policy error against N=900",r10_truth_audit_table.tex,rev10_manuscript_assets.py,R10,metrics/r10_final_experiment_manifest.json,chapters/supp_sobol_confirmatory.tex
STable S30,supplement,tab:sobol-reference-audit-extended,"Extended reference-degree audit of the four remaining sub-50 km survivors, using the same acceptance rule. All four adopt N=900; the design medians and raw-win counts are unchanged and no new contested case enters the convergence subset",r10_truth_audit_extended_table.tex,rev10_truth_audit_extended_postprocess.py,R10,metrics/r10_final_experiment_manifest.json,chapters/supp_sobol_confirmatory.tex
STable S31,supplement,tab:full64-convergence,Full 64-orbit design-A comparison at position/velocity-split vector tolerance. All 64 orbits were rerun under the vector-tolerance contract and each comparison is decided individually; the resolved and unresolved counts are given per row. ρ >1 favors the schedule,r11_full64_convergence_table.tex,rev11_finalize_manifest.py; rev11_manuscript_tables.py,R11,metrics/r11_final_experiment_manifest.json,chapters/supp_sobol_confirmatory.tex
STable S32,supplement,tab:designB-convergence,"Independent design-B replication (64-orbit scrambled-Sobol coverage design, seed 20260724) at the same vector tolerance",r11_designB_convergence_table.tex,rev11_finalize_manifest.py; rev11_manuscript_tables.py,R11,metrics/r11_final_experiment_manifest.json,chapters/supp_sobol_confirmatory.tex
STable S33,supplement,tab:design-size,The budget comparison re-tallied over leading Sobol prefixes of each coverage design at β = 1. Counts are of resolved comparisons,r59_design_size_table.tex,rev59_design_size.py,R59,metrics/r59_final_experiment_manifest.json,chapters/supp_sobol_confirmatory.tex
STable S34,supplement,tab:atallah-benchmark,"Direct benchmark of the published Atallah radial-adaptive rule citep atallah2022radial on both 64-orbit designs, at the perilune-matched error target. The lower panel records what that match produces at perilune",r12_atallah_combined_table.tex,rev12_atallah_tables.py; rev12_finalize_manifest.py,R12,metrics/r12_final_experiment_manifest.json,chapters/supp_atallah.tex
STable S35,supplement,tab:atallah-verification,"Verification of the Atallah selection rule on JGGRX_1800F (degree 600 verification field), against the acceptance criteria of the source paper. Each cell gives the selected degree N_req(r, ε _a) and the measured worst-case acceleration truncation error of the real field at that degree, over a 13× 24 latitude/longitude grid on the sphere of that altitude. The requirement is that the measured error is below the requested tolerance in every cell; it is met in 28 of 28 cells and violated in 0. Cells marked dagger are saturated at the verification-field degree, where the measured error is identically zero. The bounding property of the source paper's Eq. (29) holds with 0 violations over 48 radius/degree checks, the tightest measured-to-bound ratio being 0.124",r12_atallah_verification_table.tex,rev12_atallah_verification.py; rev12_finalize_manifest.py,R12,metrics/r12_final_experiment_manifest.json,chapters/supp_atallah.tex
STable S36,supplement,tab:atallah-grid,"Grid convergence of the sampled maximum used to set the published rule's tolerance, and it does not converge. The benchmark measures the largest truncation error of a fixed degree over a 25× 48 latitude/longitude sample of the sphere; the table refines that sample to 50× 96 and 100× 192 and gives the relative change of each against the finest grid. The 25× 48 sample falls below the finest by a median 14% and by up to 28%, and refining to 50× 96 removes little of that (12% median, 19% worst). The quantity is therefore a sampled-grid maximum and is called one throughout; it is not a worst case over the sphere and it is not grid-resolved. Its consequence for the benchmark is bounded separately and is negligible, because the selected degree depends on the tolerance through a steeply falling tail sum",r15_atallah_grid_table.tex,rev15_atallah_grid.py; rev15_finalize_manifest.py,R15,metrics/r15_final_experiment_manifest.json,chapters/supp_atallah.tex
STable S37,supplement,tab:atallah-departures,"Where this benchmark differs from the source study's experiment, and the consequence of each difference",(inline),,,,chapters/supp_atallah.tex
STable S38,supplement,tab:atallah-bincontrol,"Bin-resolution control for the Atallah benchmark. For 10 design-A orbits spanning the perilune range, the published rule evaluated at the exact instantaneous radius on every right-hand-side call (cont) is compared with the archived 10-km binned application (bin) at identical tolerance, degree cap, integrator settings, arc and reference. N is the call-weighted mean degree, n_lev the number of distinct degrees used, and n_sw the degree changes seen at right-hand-side samples. w is the ratio of ⟨ N^2⟩ and n_rhs the ratio of right-hand-side calls (cont/bin). E is the seven-day position RMS against the same-tolerance reference; the last column reports whether the two error values are separated by the reference-inclusive envelope rule. Median mutual trajectory difference 0.018 m; median work ratio 0.944",r12_atallah_bincontrol_table.tex,rev12_atallah_bincontrol.py; rev12_finalize_manifest.py,R12,metrics/r12_final_experiment_manifest.json,chapters/supp_atallah.tex
STable S39,supplement,tab:resolution-diagnosis,"Diagnosis of the unresolved matched-work comparisons. M_res = |E_At-E_fix|/(E_num,At+E_num,fix) is the resolution margin, and a comparison resolves at M_res>1. Column ""→ 0 self"" counts the comparisons that would resolve if both policy self-differences were driven to zero, leaving only the reference envelope; it bounds what a more accurate policy integration alone could buy. The stability columns give the median relative change of each policy's measured seven-day error under a one-decade tolerance refinement, a physical truncation signal being tolerance-stable and integration noise not. The last column counts, out of 64, the orbits in which the sign of E_At-E_fix survives that refinement",r13_resolution_diagnosis_table.tex,rev13_finalize_manifest.py; rev13_resolution_diagnosis.py,R13,metrics/r13_final_experiment_manifest.json,chapters/supp_atallah.tex
STable S40,supplement,tab:force-defect,"Integration-noise-free comparison at matched work. Along each orbit's archived reference trajectory, the truncation acceleration defect Δ a = a_N_P-a_N_ref is evaluated for the Atallah degree history and for its work-matched fixed degree at the same 5041 epochs. w is the ratio of the sampled ⟨ N^2⟩ of the two histories (a check that the work match holds on the sampled epochs). The defect ratio is fixed over Atallah, so values above unity favor Atallah. The displacement proxy is the first-order in-track accumulation int _0^T (T-τ ),Δ a_it(τ ),dτ. Every quantity in this table is a deterministic function of the field and the degree histories, so none of it carries integration noise",r13_force_defect_table.tex,rev13_finalize_manifest.py; rev13_force_defect.py,R13,metrics/r13_final_experiment_manifest.json,chapters/supp_atallah.tex
STable S41,supplement,tab:variational-check,"Forced-variational calibration of the matched-work comparison. For each orbit one augmented integration along the reference trajectory gives the linear position response to the measured truncation force defect of three policies. The critical fixed degree is the calibration channel: its predicted and measured seven-day errors are compared directly, since that error is a large, tolerance-stable signal. The Atallah and work-matched predictions are then read on the same footing, and their predicted gap is compared with the measured resolution threshold of the trajectory experiment",r13_variational_check_table.tex,rev13_finalize_manifest.py; rev13_variational_check.py,R13,metrics/r13_final_experiment_manifest.json,chapters/supp_atallah.tex
STable S42,supplement,tab:timing-match,"Measured-time-matched comparator. N_work is the quadratic-proxy comparator of the campaign and N_time the fixed degree whose measured kernel time approximately matches the rule's within the measured timing repeatability, obtained from the measured per-call costs and refined once on the achieved ratio. ""time ratio"" is that achieved gravity-kernel time of the comparator over the rule's, measured serially on an idle machine; repeated runs place this machine's session-to-session drift near 10%, which is the floor on how closely the match can be made. E values are seven-day position RMS at the tight vector tolerance and M_res is the resolution margin. For the design-A 31-km-perilune orbit, both tolerance levels were recomputed consistently at the final comparator degree N=515, and only these corrected runs are reported (nolinkurl metrics/r13_timing_repair.json)",r13_timing_match_table.tex,rev13_finalize_manifest.py; rev13_timing_match.py,R13,metrics/r13_final_experiment_manifest.json,chapters/supp_atallah.tex
STable S43,supplement,tab:cadence-check,"Output-cadence convergence of the force-defect measurement. Every force-level statistic in this paper is taken on the archived 120-s reference grid; on an eccentric arc the perilune passage that dominates the defect lasts only minutes, so the grid is tested in both directions: decimated to 240 and 480 s, and re-propagated at 30 and 10 s. The last two columns give the median and worst per-orbit change of the defect ratio against the 120-s value. Across all cadences and budgets, 1 of the tested orbits change which policy has the smaller defect",r15_cadence_check_table.tex,rev15_cadence_check.py; rev15_finalize_manifest.py,R15,metrics/r15_final_experiment_manifest.json,chapters/supp_budget_pareto.tex
STable S44,supplement,tab:budget-force-pareto-full,"Fixed-budget force-level comparison, full form. The compact version in the main text carries the ordering and the counts; this one adds the median defect magnitudes of both policies, the radial history's mean degree, and the 10--90 percentile spread of the ratio. R_a is the fixed-over-radial defect ratio, so values above unity favor radial allocation. The last row of each block is each orbit's archived accuracy-target operating point at its own measured budget, a design median of a widely varying quantity rather than a fixed cost of radial adaptation. Budget points whose comparator would exceed the adopted reference degree are censored and excluded from that row's statistics",r14_force_pareto_table_full.tex,rev14_finalize_manifest.py; rev14_tables.py,R14,metrics/r14_final_experiment_manifest.json,chapters/supp_budget_pareto.tex
STable S45,supplement,tab:budget-timing-full,"Measured-time budget control, full form. The compact version in the main text carries the matched degree and the two cost ratios; this one adds the critical degree, the comparator the quadratic proxy would have selected, and both errors in meters. N_proxy is the comparator the proxy selects at β=1 and N_time the degree whose measured kernel time approximately matches the radial policy's within the measured timing repeatability. All runs are serial on an idle machine and each configuration is repeated; medians are compared. A pair counts as matched only inside the declared 0.90--1.10 band. ρ = E_fix/E_rad is a raw error ratio; the reference-inclusive resolution rule is not applied to this panel",r14_timing_budget_table_full.tex,rev14_finalize_manifest.py; rev14_timing_budget.py,R14,metrics/r14_final_experiment_manifest.json,chapters/supp_budget_pareto.tex
STable S46,supplement,tab:budget-cap-audit,"Degree-cap audit of the fixed-budget sweep. Wherever the calibrated radial degree reaches the orbit's adopted reference degree its force model is the reference model and its defect vanishes by construction, which flatters the ratio. The table counts how many orbits touch the cap at all, how many are capped enough for the defect to vanish outright (those have no defined ratio and are excluded from medians), the largest arc fraction spent at the cap, and the median defect ratio recomputed on the orbits that never touch it. The direction of every comparison survives; only the magnitude at the highest budgets does not",r14_cap_audit_table.tex,rev14_finalize_manifest.py; rev14_tables.py,R14,metrics/r14_final_experiment_manifest.json,chapters/supp_budget_pareto.tex
STable S47,supplement,tab:budget-cost-bookkeeping,"Does the per-call budget match survive the integrator? The per-call ratio is the realized per-call work on the calls actually made, ⟨ N^2⟩ _A / N_F^2 over right-hand-side samples; the declared match is 1 by construction. The right-hand-side ratio is what the adaptive integrator then does with a changing degree, and the total quadratic work W = sum _RHS N_j^2 is their product per orbit; the medians printed here are taken per column and so need not multiply. A per-call equal-work rule is not an equal-work rule end to end whenever the scheduler changes the call count, and the excess is reported here rather than absorbed",r14_cost_bookkeeping_table.tex,rev14_finalize_manifest.py; rev14_tables.py,R14,metrics/r14_final_experiment_manifest.json,chapters/supp_budget_pareto.tex
STable S48,supplement,tab:budget-variational,"Forced-variational mechanism check at equal budget. Both policies are carried along one shared reference under one gravity gradient, so the predictions differ only through their truncation defects. At β = 1 the comparator degree equals the critical-altitude degree, whose measured error is large and tolerance-stable, so it doubles as the calibration channel: the calibration ratio is its predicted over its measured seven-day RMS error. ρ columns are fixed over radial, so values above unity favor the radial allocation; both are given to two significant figures so that the predicted and measured ratios can be compared where they are small. Errors are in meters",r14_variational_budget_table.tex,rev14_finalize_manifest.py; rev14_variational_budget.py,R14,metrics/r14_final_experiment_manifest.json,chapters/supp_budget_pareto.tex
STable S49,supplement,tab:proxy-form,"The second rung of the instrument ladder scored in three forms, at β=1 over all 64 orbits of each design. mathbf d(t) is the free-propagation displacement of Eq. eqref eq:free-displacement; ⟨ · ⟩ _t is the mean over the arc. Counts are orbits on which the statistic favors the budget-calibrated radial policy, and the median ratio is fixed-over-radial, so values above one favor radial. All three are gradient-free; the propagated arcs are repeated from Table mainref tab:instrument-ladder as their target",r35_proxy_rms_table.tex,rev35_finalize_manifest.py; rev35_proxy_rms.py,R35,metrics/r35_final_experiment_manifest.json,chapters/supp_budget_pareto.tex
STable S50,supplement,tab:panel-extension,"The completed forced-variational panel at β=1. The panel is the highest completed level of the registered chain, and also its last: the panel and the whole record coincide at 128 orbits, and the two rows agree for that reason rather than by cancellation. Sign agreement is over resolved comparisons only, per the scoring amendment. The calibration channel is the predicted over measured error of the constant comparator on the same orbit",r42_panel_extension_table.tex,rev42_finalize_manifest.py; rev42_table.py,R42,metrics/r42_final_experiment_manifest.json,chapters/supp_budget_pareto.tex
