old_label,old_section,content,action,revised_supplement_location,archive_path_tex,archive_path_csv,rows_in_csv,generator_script,source_record,source_record_sha256,table_sha256,reason,main_manuscript_refs_affected
tab:alpha-margin-per-orbit,S9,Complete per-orbit uniform degree-inflation margin ladder,MOVE,aggregate summary retained in S9; full table archived,supplement_archive/full_legacy_tables/r8_alpha_margin_supplement.tex,processed/per_orbit_tables/r8_alpha_margin_supplement.csv,121,rev8_alpha_margin.py,r8_alpha_margin.json,c370478649de1f6f4e8858e7c334c28cb571e1c9c18cc141544b11cb1412d22f,22ab300e7ef378646403b22d63a6432a021ffcc2299aa59288ce89773111cfdb,no text in either document referenced this table; per-case inventory not practically inspectable on the page,none
tab:phase-sweep-vector,S6,Per-phase vector-tolerance dispersion sweep,MOVE,aggregate summary retained in S6; full table archived,supplement_archive/full_legacy_tables/r11_phase_sweep_table.tex,processed/per_orbit_tables/r11_phase_sweep_table.csv,5,rev11_manuscript_tables.py,r11_phase_sweep.json,72130068b7ca86466b66f17d4a099c8f79bb8a6bf1072f5d7a0848e4432bc7df,f8436bf77ad7f90972c8274c3d9673b28b3fd15d7726f27797fcc4f8103bb4b2,no text in either document referenced this table; per-case inventory not practically inspectable on the page,none
tab:atallah-matching-A,S13,"Per-orbit matching record of the published radial rule, design A",MOVE,aggregate summary retained in S13; full table archived,supplement_archive/full_legacy_tables/r12_atallah_matching_table_A.tex,processed/per_orbit_tables/r12_atallah_matching_table_A.csv,65,rev12_atallah_tables.py,r12_atallah_campaign.json,e9bfe5e69e70d4e8b6ebc7db242b5c1a4e38bc3bc2283cc98a5b9936ad6756c4,1e24d572a760cd9acac9140bd43006465bd8be4b018d5a33817887d6b8d2ccea,no text in either document referenced this table; per-case inventory not practically inspectable on the page,none
tab:atallah-matching-B,S13,"Per-orbit matching record of the published radial rule, design B",MOVE,aggregate summary retained in S13; full table archived,supplement_archive/full_legacy_tables/r12_atallah_matching_table_B.tex,processed/per_orbit_tables/r12_atallah_matching_table_B.csv,65,rev12_atallah_tables.py,r12_atallah_campaign_designB.json,d514656076651d447f389dacba2f1fc2c8ee0d36fabab193ddcea404a223ae98,8ef36e3a5e166f83fe0504a479e37173467960b1d59db3ddfcc6a938f5164875,no text in either document referenced this table; per-case inventory not practically inspectable on the page,none
tab:budget-per-orbit-A,S14,"Per-orbit equal-budget comparison at beta = 1, design A",MOVE,aggregate summary retained in S14; full table archived,supplement_archive/full_legacy_tables/r14_beta1_per_orbit_A.tex,processed/per_orbit_tables/r14_beta1_per_orbit_A.csv,65,rev14_tables.py,r14_trajectory_A_beta_1.00.json,a036cfa6ac4f20d9ac7fc8663b414106a11932d780837574ae49d62fead39e00,dfd238d018fd31b1e8e924186480150db148d7ad27848b48d2994f350109b0b6,no text in either document referenced this table; per-case inventory not practically inspectable on the page,none
tab:budget-per-orbit-B,S14,"Per-orbit equal-budget comparison at beta = 1, design B",MOVE,aggregate summary retained in S14; full table archived,supplement_archive/full_legacy_tables/r14_beta1_per_orbit_B.tex,processed/per_orbit_tables/r14_beta1_per_orbit_B.csv,65,rev14_tables.py,r14_trajectory_B_beta_1.00.json,419d0c089da696507b73fd3c6346b9d077552349fbccb01657762b873a092227,461d05e0d57d0bc266d9add13184f2132f51e61069b253e99bc55b7a3c3191ea,no text in either document referenced this table; per-case inventory not practically inspectable on the page,none
tab:span-detail-A,S15,"Per-orbit seven-day error of every interpolation member, design A",MOVE,aggregate summary retained in S15; full table archived,supplement_archive/full_legacy_tables/r18_span_detail_table_A.tex,processed/per_orbit_tables/r18_span_detail_table_A.csv,66,rev18_tables.py,r18_span_sweep_A_beta_1.00.json,2660232bedd2480459f929795f95f4c49b2f68f4dbe1a59d8b581ab831dadafa,c3f6f6e9f878e853066e2c53da554f9e0b04c9e8b3186dafee2e4ba0f6bbe264,no text in either document referenced this table; per-case inventory not practically inspectable on the page,none
tab:span-detail-B,S15,"Per-orbit seven-day error of every interpolation member, design B",MOVE,aggregate summary retained in S15; full table archived,supplement_archive/full_legacy_tables/r18_span_detail_table_B.tex,processed/per_orbit_tables/r18_span_detail_table_B.csv,66,rev18_tables.py,r18_span_sweep_B_beta_1.00.json,f19863fad162aac4aef2b42bc9111e2cc4fbba15033558bfad86886515bcebd2,ee997d489b519620d408e6fc00e343a0f8c2e8b14e6e21ab3c6078318aebed98,no text in either document referenced this table; per-case inventory not practically inspectable on the page,none
tab:span-longarc-detail,S15,"Sixty-day record of the interpolation family, eight design-A orbits",MOVE,aggregate summary retained in S15; full table archived,supplement_archive/full_legacy_tables/r20_longarc_detail_table.tex,processed/per_orbit_tables/r20_longarc_detail_table.csv,10,rev18_tables.py,r20_span_longarc.json,5f65842cf5d97fcbe5a1e88390cb56097c08786512cbbda23f841fdf9d92559d,a7a458895f6ce7a13144202c74ab557ee91c80c3625d87bfa8a022fcd4e76a3a,no text in either document referenced this table; per-case inventory not practically inspectable on the page,none
tab:screening-block,S1.1,"Screening block (O1)-(O18), (O21)-(O22): purpose, parameterization and outcome of every exploratory experiment that fixed the numerical contract",MOVE,one paragraph retained in S1.1 stating what the block was and that it carries no reported result,supplement_archive/screening_block.tex,,,,,,55fa97c2af6d94bc9ec2caf9be8585028c28c94a1692187f222d91c7363e98fb,research chronology rather than evidence for a reported claim; the claim map lists no result carried by these experiments,none
tab:practical-recommendations,S1.1,"Practical recommendations with evidential status and scope, one row per operating regime",MOVE,removed; the recommendations are stated in Section IX.A of the manuscript and their bounds in Table S6,supplement_archive/practical_recommendations_table.tex,,,,,,bdc7e27195afea94df88bc702b5debf7b933cf7dced932d5a3acdc7ae4407701,interpretation layer duplicated by the discussion; the scientific bounds behind it remain in Table S6,Section IX.A pointer redirected to Table S6
tab:related,S2.2,"Adjacent degree-selection studies against the present one, aspect by aspect",MOVE,removed; the same comparison is made in prose in Section II of the manuscript,supplement_archive/adjacent_studies_table.tex,,,,,,d6ec84b58d6e27644426a312726e6c3051fb75cfc313cb99726009a4c06ea393,literature positioning duplicated by the main text's related-work section; the table carried no measurement,Section II pointer removed
sec:supp-experiment-contract,S1.1,"Research chronology inside the O-entry prose: registration-file provenance and filing order, amendment and relaunch history, outcome-class definitions and their overlaps, clock-truncation narratives, the discarded (O58) attempt, experiment-ID collisions and the unassigned O43-O47 range",MOVE,"S1.1 keeps purpose, protocol, sample, metric, result and evidential status for every entry, including all pre-registration statements, post-hoc markers and outcome classes returned",supplement_archive/experiment_chronology.tex,,,,,,4f701d36ccc5264c169bf112672ca7e0c631b81de5fb5b59fefac3f223b7d796,history of how the evidence was produced rather than evidence for a reported claim; the evidence package is its home,none
sec:reproducibility + sec:cost-curve,"S10, S2.6","Provenance bookkeeping: interpreter forensics for records with no version fields, digest and trajectory counts, the re-sealing tool's contract, claims-ledger internals, the derivative-freshness list and its coverage limit, the non-duplication naming exception, and the session-by-session decomposition of the two archived kernel cost curves",MOVE,"S10 keeps the DOI, source snapshots, environments, coefficient digests and the existence and contract of both mechanical checks; S2.6 keeps the disagreement, what the re-measurement settles and the one contradicted archived measurement",supplement_archive/provenance_bookkeeping.tex,,,,,,11d1ab301c2ebc16fa09cebca0fd0dcf8a3bb9c8a620d31b18a42da483469718,audit-trail detail rather than evidence a reviewer needs to check a reported result; the package README is its home,none
(O19)-(O30) prose entries,S1.1,Parameter-level prose contract of the primary orbit-level campaigns,CONDENSE,"Table S8 (tab:primary-campaigns) keeps identity, sample and status; each row names the section stating the construction in full",supplement_archive/experiment_registry_prose_primary.tex,,,,,,,every construction is restated in full by the section reporting the campaign's result; S1.1 was stating it a second time,none
(O35)-(O60) prose entries,S1.1,"Parameter-level prose contract, motivating narrative and registration mechanics of the registered controls and extensions",CONDENSE,"Table S10 (tab:registered-controls) keeps what each control changes, its registration status and its returned outcome class",supplement_archive/experiment_registry_prose.tex,,,,,,,motivation is carried by the reporting section and registration mechanics are audit provenance rather than evidence,sec:reference-raised (label retained on the table)
fig:doe-regime,S3.2,Regime map of the stratified 24-orbit screening design over the perilune-apolune plane,MOVE,one-sentence summary retained in S3.2,supplement_archive/full_legacy_tables/,,,,,,,exploratory scalar-tolerance screening; no reported ranking rests on it,none
tab:canonical-geometries,S3.2,Canonical geometries of the 24-orbit screening design,MOVE,named in S3.2 prose,supplement_archive/full_legacy_tables/,,,,,,,referenced by no text in either document; screening-design definition only,none
tab:stage3-weekly,S3.3,Weekly checkpoints of the archived 28-day scalar-tolerance records,MOVE,named in S3.3 prose,supplement_archive/full_legacy_tables/,,,,,,,its only live reference was local; the 28-day campaign it checkpoints is itself archived,none
tab:sobol-main,S4.4,Aggregate confirmatory counts of the initial screening pass,MOVE,superseded status stated in S4.4 prose,supplement_archive/full_legacy_tables/,,,,,,,"superseded by the full-design vector-tolerance rerun, which decides all 64 comparisons individually",none
S7.13 discarded-attempt forensics,S7.13,"Timestamp sequence of the discarded timing attempt, threshold provenance and quiet-probe logging history",CONDENSE,"S7.13 keeps the discard, its criterion, its tallies and the quiet audit of the accepted run",supplement_archive/timing_family_forensics.tex,,,,,,,machine-event and record-provenance detail; the discard disclosure and the audit that carries it are retained,none
