item,document,label,claim,artifact,script,campaign,manifest,defined_in
Table 9,main,tab:budget-force-pareto,Fixed-budget force-level comparison; each cell pairs design~A with design~B so the replication reads across,r14_force_pareto_table.tex,rev14_finalize_manifest.py; rev14_tables.py,R14,metrics/r14_final_experiment_manifest.json,metrics/r14_force_pareto_table.tex
Table 10,main,tab:budget-timing,Equal-budget comparison with the budget defined as measured serial gravity-kernel time rather than the quadratic proxy,r14_timing_budget_table_compact.tex,rev14_timing_budget.py,R14,metrics/r14_final_experiment_manifest.json,metrics/r14_timing_budget_table_compact.tex
Table 11,main,tab:budget-trajectory-pareto,Propagated fixed-budget comparison,r14_trajectory_pareto_table.tex,rev14_finalize_manifest.py; rev14_tables.py,R14,metrics/r14_final_experiment_manifest.json,metrics/r14_trajectory_pareto_table.tex
Table 12,main,tab:span,"The same path in numbers, at =1",r18_span_table.tex,rev18_finalize_manifest.py; rev18_tables.py,R18,metrics/r18_final_experiment_manifest.json,chapters/08_budget.tex
Table 13,main,tab:equal-work,"The interior member (k=0.5) against the constant degree under two definitions of an equal budget, at two declared budgets",r19_equal_work_table.tex,rev19_finalize_manifest.py; rev19_tables.py,R19,metrics/r19_final_experiment_manifest.json,chapters/08_budget.tex
Table 14,main,tab:ultra-span,"The =1 realized-work comparison re-run at a third, ultra-tight tolerance level",r23_ultra_table.tex,rev23_finalize_manifest.py; rev23_tables.py,R23,metrics/r23_final_experiment_manifest.json,chapters/08_budget.tex
Table 15,main,tab:span-budget,The interpolation path at three declared budgets,r18_budget_table.tex,rev18_budget_table.py,R18,metrics/r18_final_experiment_manifest.json,chapters/08_budget.tex
Table 16,main,tab:practical-recommendations,Practical recommendations within the scope tested here,(inline),,,,chapters/08_discussion.tex
SFigure S9,supplement,fig:alpha-margin,Uniform margin control on the 24-orbit design,fig_alpha_margin.pdf,make_figures_r8.py,R8,,chapters/supp_alpha_margin.tex
SFigure S11,supplement,fig:atallah-benchmark,"The published radial-adaptive rule against both fixed comparators, design~A (circles) and design~B (triangles)",fig_atallah_benchmark.pdf,make_figures_r13.py; rev13_finalize_manifest.py,R13,metrics/r13_final_experiment_manifest.json,chapters/supp_atallah.tex
SFigure S1,supplement,fig:pstar-objective,Dense-altitude calibration objective for the effective tail-budget exponent on JGGRX\_1800F,fig_pstar_objective.pdf,make_figures_supplemental.py,,,chapters/supp_calibration_cost.tex
SFigure S2,supplement,fig:timing,Measured single-thread evaluation time of the serial kernel (median and interquartile range over nine timing blocks),fig_timing.pdf,make_figures_r1.py,R1,,chapters/supp_calibration_cost.tex
SFigure S3,supplement,fig:schedpanels,"Two orbital periods of the eccentric arc: altitude, scheduled degree ( =10^ -3",fig_schedule_panels.pdf,make_figures_r1.py,R1,,chapters/supp_orbit_audit.tex
SFigure S4,supplement,fig:doe-regime,Regime map of the stratified 24-orbit design,fig_doe_regime.pdf,make_figures_doe_regime.py,,,chapters/supp_orbit_audit.tex
SFigure S5,supplement,fig:switch-aggregate,"Event-aligned accepted-step median and interquartile range (upper panels) and direct rejection probability (lower panels), pooled over all switches and separate",fig_switch_aggregate.pdf,make_figures_r3.py,R3,,chapters/supp_orbit_audit.tex
SFigure S6,supplement,fig:longarc-matrix,Seven-day RMS position error for six degree policies across four orbit/orientation controls,fig_longarc_matrix.pdf,make_figures_r3.py,R3,,chapters/supp_orbit_audit.tex
SFigure S7,supplement,fig:sweep,"Dense fixed-degree sweep at the tight tolerance for the reference phase, apolune-start phase, and 60^ -inclination variant of the 50 300~km orbit",fig_degree_sweep.pdf,make_figures_r3.py,R3,,chapters/supp_orbit_audit.tex
SFigure S8,supplement,fig:growth,Position-error envelopes over the tested 7-day arc (tight tolerance),fig_longarc_growth.pdf,make_figures_r1.py,R1,,chapters/supp_orbit_audit.tex
SFigure S10,supplement,fig:symplectic-switch,One-revolution PEFRL energy control,fig_symplectic_switch.pdf,rev4_robustness_controls.py,R4,,chapters/supp_robustness_detail.tex
STable S1,supplement,tab:shtools,"Field-level acceleration comparison against SHTOOLS, pooled over 30, 100, and 500~km and including near-pole points",(inline),,,,chapters/06_qualification.tex
STable S2,supplement,tab:tudat-contract,Reproducibility contract of the Tudat--Lunaris comparison,(inline),,,,chapters/06_qualification.tex
STable S3,supplement,tab:tudat-resolution,"Three-resolution Tudat RK4 controls (5, 2.5, and 1.25~s) on the common 60-s comparison grid",(inline),,,,chapters/06_qualification.tex
STable S21,supplement,tab:alpha-aggregate,"Uniform-margin control, design aggregates over the 24-orbit design",r8_alpha_margin_table.tex,make_figures_r8.py,R8,,chapters/supp_alpha_margin.tex
STable S22,supplement,tab:alpha-resolution-counts,Rank-resolution counts for the aggregate margin analysis,r8_alpha_margin_resolution_table.tex,make_figures_r8.py,R8,,chapters/supp_alpha_margin.tex
STable S69,supplement,tab:blend-longarc,Twenty-eight-day Cartesian position RMS (m) against the common high-degree reference for the smooth N=30/120 transition control,r9_potential_blend_longarc_table.tex,rev9_blend_postprocess.py,R9,,chapters/supp_blend_convergence.tex
STable S70,supplement,tab:blend-convergence,LRO-like 28-day convergence of fixed N=120 and the corrected potential blend,r10_blend_convergence_table.tex,rev10_manuscript_assets.py,R10,metrics/r10_final_experiment_manifest.json,chapters/supp_blend_convergence.tex
STable S63,supplement,tab:gradient-sensitivity,"Gradient-degree sensitivity of the forced variational solve, over 241 sampled epochs of each panel orbit's archived reference",r21_gradient_sensitivity_table.tex,rev21_finalize_manifest.py; rev21_gradient_sensitivity.py,R21,metrics/r21_final_experiment_manifest.json,chapters/supp_budget_pareto.tex
STable S5,supplement,tab:verif,Verification of the per-degree acceleration-RMS identity by exact Gauss--Legendre quadrature (nodes n +,(inline),,,,chapters/supp_calibration_cost.tex
STable S6,supplement,tab:cost-curve,"The kernel cost curve re-measured under both archived protocols at both archived model degrees, on an idle machine, in three sessions",r23_cost_table.tex,rev23_finalize_manifest.py; rev23_tables.py,R23,metrics/r23_final_experiment_manifest.json,chapters/supp_calibration_cost.tex
STable S7,supplement,tab:transfer-detail,Empirical minimum degree N^ emp,r16_transfer_detail_table.tex,rev16_finalize_manifest.py; rev16_tables.py,R16,metrics/r16_final_experiment_manifest.json,chapters/supp_calibration_cost.tex
STable S8,supplement,tab:band,Normalized band-difference RMS amplitudes (1000 directions per altitude; bootstrap 95\% intervals in brackets),(inline),,,,chapters/supp_calibration_cost.tex
STable S9,supplement,tab:localtail,Degree recommendations from the sampled sphere-RMS criterion and directional tail-amplitude percentiles normalized by the global perturbation RMS (4096 Sobol di,(inline),,,,chapters/supp_calibration_cost.tex
STable S4,supplement,tab:tolerance-contracts,Integration-tolerance regimes and the results quoted from each,(inline),,,,chapters/supp_experiment_contract.tex
STable S74,supplement,tab:longarc60,Sixty-day comparison on the widened geometry set,r17_longarc60_table.tex,rev17_finalize_manifest.py; rev17_tables.py,R17,metrics/r17_final_experiment_manifest.json,chapters/supp_longarc60.tex
STable S75,supplement,tab:longarc60-growth,Sixty-day growth by checkpoint (meters),r17_longarc60_growth_table.tex,rev17_finalize_manifest.py; rev17_tables.py,R17,metrics/r17_final_experiment_manifest.json,chapters/supp_longarc60.tex
STable S76,supplement,tab:stage3,Twenty-eight-day Cartesian position RMS E_ RMS,(inline),,,,chapters/supp_longarc60.tex
STable S10,supplement,tab:reference-degree,"Seven-day N=300 minus N=600 reference-degree control (meters), using vector absolute tolerances of 10^ -6",(inline),,,,chapters/supp_orbit_audit.tex
STable S11,supplement,tab:narrow,Narrow-gap precision controls,(inline),,,,chapters/supp_orbit_audit.tex
STable S12,supplement,tab:canonical-geometries,Canonical geometries in the 24-orbit design,(inline),,,,chapters/supp_orbit_audit.tex
STable S13,supplement,tab:switch,Per-switch acceleration jump: direction-averaged RMS of \| a,(inline),,,,chapters/supp_orbit_audit.tex
STable S14,supplement,tab:switch-telemetry,Direct DOP853 switching telemetry over 2.2 orbital periods,(inline),,,,chapters/supp_orbit_audit.tex
STable S15,supplement,tab:scalar-convergence,Scalar-tolerance screening convergence; not used for close policy ranking,(inline),,,,chapters/supp_orbit_audit.tex
STable S16,supplement,tab:scalar-geometry,Exploratory scalar-tolerance multi-geometry screening matrix; final narrow-gap rankings use vector tolerances,(inline),,,,chapters/supp_orbit_audit.tex
STable S17,supplement,tab:phase-screening,Initial-phase scalar-tolerance screening sweep of the 7-day 50 300~km polar comparison: RMS position error (m) against each phase's own N=300 reference at the s,(inline),,,,chapters/supp_orbit_audit.tex
STable S19,supplement,tab:stage3-weekly,Weekly checkpoints recomputed from the archived 28-day records for the schedule selected by minimum full-arc position RMS in each geometry,review_stage3_checkpoints.tex,review_postprocess.py,,,chapters/supp_orbit_audit.tex
STable S20,supplement,tab:dwell,Fraction of the seven-day arc spent at each active degree under event-resolved downward scheduling,(inline),,,,chapters/supp_orbit_audit.tex
STable S24,supplement,tab:robustness,"Seven-day robustness controls: Cartesian RMS position error against the same-solver, same-force N=300 reference",(inline),,,,chapters/supp_robustness_detail.tex
STable S25,supplement,tab:lro-accuracy,LRO-like seven-day accuracy controls against the same-force N=300 reference,(inline),,,,chapters/supp_robustness_detail.tex
STable S26,supplement,tab:lro-cost,LRO-like computational controls,(inline),,,,chapters/supp_robustness_detail.tex
STable S27,supplement,tab:geometric-verification,Seven-day rotating-frame Jacobi-integral control,(inline),,,,chapters/supp_robustness_detail.tex
STable S28,supplement,tab:tudat-dynamic,Independent TudatPy reproduction of dynamic scheduling: seven-day Cartesian RMS position error against each code's own N=300 reference,(inline),,,,chapters/supp_robustness_detail.tex
STable S29,supplement,tab:lro-conv,LRO-like Tudat step-convergence,(inline),,,,chapters/supp_robustness_detail.tex
STable S30,supplement,tab:sobol-truth-audit,"Confirmatory truth-degree audit, frozen six-orbit primary set",r10_truth_audit_table.tex,rev10_manuscript_assets.py,R10,metrics/r10_final_experiment_manifest.json,chapters/supp_sobol_confirmatory.tex
STable S31,supplement,tab:sobol-truth-audit-extended,"Extended truth-degree audit of the four remaining sub-50~km survivors, using the same acceptance rule",r10_truth_audit_extended_table.tex,rev10_truth_audit_extended_postprocess.py,R10,metrics/r10_final_experiment_manifest.json,chapters/supp_sobol_confirmatory.tex
STable S32,supplement,tab:selection-reasons,"Pre-specified 17-orbit convergence subset and the selection category (or categories) that placed each orbit in it: (A)~raw win, (B)~close comparison, (C)~error ",(inline),,,,chapters/supp_sobol_confirmatory.tex
STable S39,supplement,tab:sobol-main,Aggregate confirmatory counts of the initial screening pass,r10_sobol_main_table.tex,rev10_manuscript_assets.py,R10,metrics/r10_final_experiment_manifest.json,chapters/supp_sobol_confirmatory.tex
STable S77,supplement,tab:span-by-k,"The continuation family member by member, at every declared budget",r18_by_k_table.tex,rev22_supplement_tables.py,R22,metrics/r22_final_experiment_manifest.json,chapters/supp_span_sweep.tex
STable S78,supplement,tab:span-detail-A,"Design~A: seven-day position RMS (m) at the tighter level for each member of the family, by orbit",r18_span_detail_table_A.tex,rev18_finalize_manifest.py,R18,metrics/r18_final_experiment_manifest.json,chapters/supp_span_sweep.tex
STable S79,supplement,tab:span-detail-B,"Design~B: seven-day position RMS (m) at the tighter level for each member of the family, by orbit",r18_span_detail_table_B.tex,rev18_finalize_manifest.py,R18,metrics/r18_final_experiment_manifest.json,chapters/supp_span_sweep.tex
STable S80,supplement,tab:span-oracle,"The interior member (k=0.5) at =1 against two constant comparators on the 16-orbit oracle panel: the nominated budget-saturating degree, and the best degree ava",r23_oracle_table.tex,rev23_finalize_manifest.py; rev23_tables.py,R23,metrics/r23_final_experiment_manifest.json,chapters/supp_span_sweep.tex
STable S81,supplement,tab:span-longarc-detail,"Sixty-day record of the interpolation family on the eight design-A orbits with an archived sixty-day truth, ordered by perilune",r20_longarc_detail_table.tex,rev22_supplement_tables.py,R22,metrics/r22_final_experiment_manifest.json,chapters/supp_span_sweep.tex
STable S72,supplement,tab:blend-error-detail,Complete LRO-like same-tolerance truth-error audit,r10_blend_error_detail.tex,rev10_manuscript_assets.py,R10,metrics/r10_final_experiment_manifest.json,metrics/r10_blend_error_detail.tex
STable S73,supplement,tab:blend-telemetry,LRO-like propagation telemetry,r10_blend_telemetry.tex,rev10_manuscript_assets.py,R10,metrics/r10_final_experiment_manifest.json,metrics/r10_blend_telemetry.tex
STable S34,supplement,tab:sobol-convergence-decisions,Numerical-resolution audit for every selected orbit and comparator,r10_sobol_convergence_decisions.tex,rev10_manuscript_assets.py,R10,metrics/r10_final_experiment_manifest.json,metrics/r10_sobol_convergence_decisions.tex
STable S33,supplement,tab:sobol-convergence-self,"Tight-to-tighter self-differences and truth-inclusive envelopes for the 17-orbit convergence subset, in meters",r10_sobol_convergence_self.tex,rev10_manuscript_assets.py,R10,metrics/r10_final_experiment_manifest.json,metrics/r10_sobol_convergence_self.tex
STable S42,supplement,tab:sobol-designA-coordinates,Exact Sobol coordinates and transformed altitude coordinates for design A (propagated),r10_sobol_designA_coordinates.tex,,,,metrics/r10_sobol_designA_coordinates.tex
STable S43,supplement,tab:sobol-designA-elements,Complete osculating elements and planned truth degree for design A (propagated),r10_sobol_designA_elements.tex,,,,metrics/r10_sobol_designA_elements.tex
STable S44,supplement,tab:sobol-designA-states,"Exact initial Cartesian states for design A (propagated), in km and km s^ -1",r10_sobol_designA_states.tex,,,,metrics/r10_sobol_designA_states.tex
STable S45,supplement,tab:sobol-designB-coordinates,Exact Sobol coordinates and transformed altitude coordinates for design B (independently frozen before propagation),r10_sobol_designB_coordinates.tex,,,,metrics/r10_sobol_designB_coordinates.tex
STable S46,supplement,tab:sobol-designB-elements,Complete osculating elements and planned truth degree for design B (independently frozen before propagation),r10_sobol_designB_elements.tex,,,,metrics/r10_sobol_designB_elements.tex
STable S47,supplement,tab:sobol-designB-states,"Exact initial Cartesian states for design B (independently frozen before propagation), in km and km s^ -1",r10_sobol_designB_states.tex,,,,metrics/r10_sobol_designB_states.tex
STable S40,supplement,tab:sobol-primary-audit,Complete primary-policy audit for propagated design A,r10_sobol_primary_audit.tex,rev10_manuscript_assets.py,R10,metrics/r10_final_experiment_manifest.json,metrics/r10_sobol_primary_audit.tex
STable S41,supplement,tab:sobol-sensitivity-audit,Schedule-sensitivity and diagnostic audit for propagated design A,r10_sobol_sensitivity_audit.tex,rev10_manuscript_assets.py,R10,metrics/r10_final_experiment_manifest.json,metrics/r10_sobol_sensitivity_audit.tex
STable S71,supplement,tab:blend-vector,28-day LRO-like (30 216~km polar) fixed-degree versus corrected-blend comparison at position/velocity-split vector tolerance,r11_blend_vector_table.tex,rev11_finalize_manifest.py; rev11_manuscript_tables.py,R11,metrics/r11_final_experiment_manifest.json,metrics/r11_blend_vector_table.tex
STable S36,supplement,tab:designB-convergence,"Independent design-B replication (64-orbit scrambled-Sobol coverage design, seed 20260724) at the same vector tolerance",r11_designB_convergence_table.tex,rev11_finalize_manifest.py; rev11_manuscript_tables.py,R11,metrics/r11_final_experiment_manifest.json,metrics/r11_designB_convergence_table.tex
STable S38,supplement,tab:designB-per-orbit,"Per-orbit design-B vector-tolerance results, columns as in the design-A per-orbit table",r11_designB_per_orbit_table.tex,rev11_finalize_manifest.py; rev11_manuscript_tables.py,R11,metrics/r11_final_experiment_manifest.json,metrics/r11_designB_per_orbit_table.tex
STable S35,supplement,tab:full64-convergence,Full 64-orbit design-A comparison at position/velocity-split vector tolerance,r11_full64_convergence_table.tex,rev11_finalize_manifest.py; rev11_manuscript_tables.py,R11,metrics/r11_final_experiment_manifest.json,metrics/r11_full64_convergence_table.tex
STable S37,supplement,tab:full64-per-orbit,Per-orbit design-A vector-tolerance results,r11_full64_per_orbit_table.tex,rev11_finalize_manifest.py; rev11_manuscript_tables.py,R11,metrics/r11_final_experiment_manifest.json,metrics/r11_full64_per_orbit_table.tex
STable S18,supplement,tab:phase-sweep-vector,"Initial-phase dispersion of the seven-day 50 300~km polar scheduling penalty at position/velocity-split vector tolerance, over 24 initial true anomalies",r11_phase_sweep_table.tex,rev11_finalize_manifest.py; rev11_manuscript_tables.py,R11,metrics/r11_final_experiment_manifest.json,metrics/r11_phase_sweep_table.tex
STable S52,supplement,tab:atallah-bincontrol,Bin-resolution control for the Atallah benchmark,r12_atallah_bincontrol_table.tex,rev12_atallah_bincontrol.py; rev12_finalize_manifest.py,R12,metrics/r12_final_experiment_manifest.json,metrics/r12_atallah_bincontrol_table.tex
STable S50,supplement,tab:atallah-matching-A,"Per-orbit matching record for the Atallah benchmark, design~A",r12_atallah_matching_table_A.tex,rev12_finalize_manifest.py,R12,metrics/r12_final_experiment_manifest.json,metrics/r12_atallah_matching_table_A.tex
STable S51,supplement,tab:atallah-matching-B,"Per-orbit matching record for the Atallah benchmark, design~B",r12_atallah_matching_table_B.tex,rev12_finalize_manifest.py,R12,metrics/r12_final_experiment_manifest.json,metrics/r12_atallah_matching_table_B.tex
STable S48,supplement,tab:atallah-verification,"Verification of the Atallah selection rule on JGGRX\_1800F (degree 600 verification field), against the acceptance criteria of the source paper",r12_atallah_verification_table.tex,rev12_atallah_verification.py; rev12_finalize_manifest.py,R12,metrics/r12_final_experiment_manifest.json,metrics/r12_atallah_verification_table.tex
STable S54,supplement,tab:force-defect,Integration-noise-free comparison at matched work,r13_force_defect_table.tex,rev13_finalize_manifest.py; rev13_force_defect.py,R13,metrics/r13_final_experiment_manifest.json,metrics/r13_force_defect_table.tex
STable S53,supplement,tab:resolution-diagnosis,Diagnosis of the unresolved matched-work comparisons,r13_resolution_diagnosis_table.tex,rev13_finalize_manifest.py; rev13_resolution_diagnosis.py,R13,metrics/r13_final_experiment_manifest.json,metrics/r13_resolution_diagnosis_table.tex
STable S56,supplement,tab:timing-match,Measured-time-matched comparator,r13_timing_match_table.tex,rev13_finalize_manifest.py; rev13_timing_match.py,R13,metrics/r13_final_experiment_manifest.json,metrics/r13_timing_match_table.tex
STable S55,supplement,tab:variational-check,Forced-variational calibration of the matched-work comparison,r13_variational_check_table.tex,rev13_finalize_manifest.py; rev13_variational_check.py,R13,metrics/r13_final_experiment_manifest.json,metrics/r13_variational_check_table.tex
STable S67,supplement,tab:budget-per-orbit-A,"Per-orbit equal-budget comparison at = 1, design~A",r14_beta1_per_orbit_A.tex,rev14_finalize_manifest.py,R14,metrics/r14_final_experiment_manifest.json,metrics/r14_beta1_per_orbit_A.tex
STable S68,supplement,tab:budget-per-orbit-B,"Per-orbit equal-budget comparison at = 1, design~B",r14_beta1_per_orbit_B.tex,rev14_finalize_manifest.py,R14,metrics/r14_final_experiment_manifest.json,metrics/r14_beta1_per_orbit_B.tex
STable S60,supplement,tab:budget-cap-audit,Degree-cap audit of the fixed-budget sweep,r14_cap_audit_table.tex,rev14_tables.py,R14,metrics/r14_final_experiment_manifest.json,metrics/r14_cap_audit_table.tex
STable S61,supplement,tab:budget-cost-bookkeeping,"Does the per-call budget match survive the integrator? The per-call ratio is the declared budget match, N^2 _A / N_F^2",r14_cost_bookkeeping_table.tex,rev14_finalize_manifest.py; rev14_tables.py,R14,metrics/r14_final_experiment_manifest.json,metrics/r14_cost_bookkeeping_table.tex
STable S58,supplement,tab:budget-force-pareto-full,"Fixed-budget force-level comparison, full form",r14_force_pareto_table_full.tex,rev14_tables.py,R14,metrics/r14_final_experiment_manifest.json,metrics/r14_force_pareto_table_full.tex
STable S66,supplement,tab:budget-oracle,O26 Lagrangian-relaxed reference-path allocation benchmark,r14_oracle_table.tex,rev14_finalize_manifest.py; rev14_tables.py,R14,metrics/r14_final_experiment_manifest.json,metrics/r14_oracle_table.tex
STable S59,supplement,tab:budget-timing-full,"Measured-time budget control, full form",r14_timing_budget_table_full.tex,rev14_timing_budget.py,R14,metrics/r14_final_experiment_manifest.json,metrics/r14_timing_budget_table_full.tex
STable S62,supplement,tab:budget-variational,Forced-variational mechanism check at equal budget,r14_variational_budget_table.tex,rev14_finalize_manifest.py; rev14_variational_budget.py,R14,metrics/r14_final_experiment_manifest.json,metrics/r14_variational_budget_table.tex
STable S49,supplement,tab:atallah-grid,"Grid convergence of the sampled maximum used to set the published rule's tolerance, and it does not converge",r15_atallah_grid_table.tex,rev15_atallah_grid.py; rev15_finalize_manifest.py,R15,metrics/r15_final_experiment_manifest.json,metrics/r15_atallah_grid_table.tex
STable S57,supplement,tab:cadence-check,Output-cadence convergence of the force-defect measurement,r15_cadence_check_table.tex,rev15_cadence_check.py; rev15_finalize_manifest.py,R15,metrics/r15_final_experiment_manifest.json,metrics/r15_cadence_check_table.tex
STable S65,supplement,tab:deployable-calibration,Budget calibration without the reference arc,r15_deployable_table.tex,rev15_finalize_manifest.py; rev15_tables.py,R15,metrics/r15_final_experiment_manifest.json,metrics/r15_deployable_table.tex
STable S64,supplement,tab:fixed-oracle,Three fixed comparators at = 1,r15_fixed_oracle_table.tex,rev15_finalize_manifest.py; rev15_tables.py,R15,metrics/r15_final_experiment_manifest.json,metrics/r15_fixed_oracle_table.tex
STable S23,supplement,tab:alpha-margin-per-orbit,Per-orbit uniform-margin ladder for the 24-orbit design,r8_alpha_margin_supplement.tex,make_figures_r8.py,R8,,metrics/r8_alpha_margin_supplement.tex
(not in manuscript),none,tab:sobol-design-a,Propagated scrambled-Sobol design A,r10_sobol_designA_table.tex,rev10_manuscript_assets.py,R10,metrics/r10_final_experiment_manifest.json,metrics/r10_sobol_designA_table.tex
(not in manuscript),none,tab:sobol-design-b,"Scrambled-Sobol design B, frozen independently before propagation and subsequently propagated in full under the vector-tolerance contract",r10_sobol_designB_table.tex,rev10_manuscript_assets.py,R10,metrics/r10_final_experiment_manifest.json,metrics/r10_sobol_designB_table.tex
(not in manuscript),none,tab:sobol-full-results,Truth-audited seven-day results for propagated Sobol design A,r10_sobol_full_results_table.tex,rev10_manuscript_assets.py,R10,metrics/r10_final_experiment_manifest.json,metrics/r10_sobol_full_results_table.tex
(not in manuscript),none,tab:designB-atallah-benchmark,"Direct Atallah radial-adaptive benchmark on the independent design-B set, perilune-tolerance matched to the critical fixed degree's perilune error target and ap",r12_atallah_benchmark_table_designB.tex,rev12_finalize_manifest.py,R12,metrics/r12_final_experiment_manifest.json,metrics/r12_atallah_benchmark_table_designB.tex
